idA,idO
a57218202833,o0
a7004904337,o0
a7005513246,o0
a6508306234,o1
a9277159100,o2
a6507358470,o1
a53879700900,o3
a26642910500,o4
a57204031131,o5
a6602649851,o5
a56830076500,o5
a57204029674,o5
a57204032253,o6
a57217149830,o7
a57217149403,o7
a57217145377,o7
a57217146534,o7
a57217147399,o7
a57217147006,o7
a57210571665,o8
a55611356500,o7
a57218886193,o9
a57210260262,o9
a6701777223,o10
a8448666000,o11
a36149254500,o12
a57191155872,o12
a56681156600,o13
a35088650000,o12
a7201741468,o13
a7402786794,o12
a57191822951,o14
a56830076500,o14
a57188654880,o14
a57192247939,o15
a57218886193,o15
a6701777223,o16
a8448666000,o17
a57218593962,o18
a57218593446,o18
a57218591162,o18
a57201772566,o19
a16422844400,o19
a7102975249,o18
a57193338296,o20
a57194692502,o21
a57202017958,o22
a57205128747,o22
a55829396600,o22
a57201634652,o23
a57218685929,o23
a18535712500,o23
a56248593800,o24
a10640480600,o25
a24923036100,o26
a7201675107,o27
a56330168500,o28
a9942259800,o28
a57201257192,o29
a56260937200,o30
a57081918700,o30
a55487415500,o31
a7202083837,o32
a57210290270,o32
a57210288045,o32
a57210287166,o32
a57211254337,o33
a57210292389,o34
a57218761022,o33
a35147940600,o32
a57201912667,o35
a7202282831,o35
a57218107757,o35
a57198832579,o35
a57218097969,o35
a7003302831,o36
a16066928300,o35
a57213342768,o37
a56584019300,o38
a57217581937,o14
a57214937519,o14
a57217581770,o14
a55542008600,o39
a56714263700,o14
a8608718200,o14
a17341858700,o40
a42062742100,o41
a55802018400,o42
a36515506800,o43
a56735940800,o44
a57194874146,o45
a8935141300,o45
a57194231165,o45
a6601976036,o46
a35547089300,o46
a7004479819,o47
a55413647400,o45
a55739722900,o48
a7201970805,o49
a57217041570,o13
a57200117690,o13
a57207689986,o13
a57200699937,o13
a7202316035,o13
a7102975249,o13
a35209941000,o13
a57219312906,o50
a57215534774,o50
a35303536900,o50
a57216811262,o51
a8705255200,o51
a57218879246,o52
a57218883196,o52
a57218883472,o52
a57218875152,o52
a35209941000,o53
a36444802300,o52
a7402967162,o54
a56196521900,o55
a35597296700,o23
a55649569259,o55
a55849071700,o56
a57190404271,o18
a35562442700,o18
a7006542177,o56
a36668159600,o57
a57200206301,o58
a57190131647,o59
a35612908400,o60
