idA,idP,first_author
a57218202833,p0,True
a7004904337,p0,False
a7005513246,p0,False
a6508306234,p1,True
a9277159100,p1,False
a6507358470,p1,False
a53879700900,p2,True
a26642910500,p2,False
a57204031131,p3,True
a6602649851,p3,False
a56830076500,p3,False
a57204029674,p3,False
a57204032253,p3,False
a57217149830,p4,True
a57217149403,p4,False
a57217145377,p4,False
a57217146534,p4,False
a57217147399,p4,False
a57217147006,p4,False
a57210571665,p4,False
a55611356500,p4,False
a57218886193,p5,True
a57210260262,p5,False
a6701777223,p5,False
a8448666000,p5,False
a36149254500,p6,True
a57191155872,p6,False
a56681156600,p6,False
a35088650000,p6,False
a7201741468,p6,False
a7402786794,p6,False
a57191822951,p7,True
a56830076500,p7,False
a57188654880,p7,False
a57192247939,p8,True
a57218886193,p8,False
a6701777223,p8,False
a8448666000,p8,False
a57218593962,p9,True
a57218593446,p9,False
a57218591162,p9,False
a57201772566,p9,False
a16422844400,p9,False
a7102975249,p9,False
a57193338296,p10,True
a57194692502,p10,False
a57202017958,p10,False
a57205128747,p10,False
a55829396600,p10,False
a57201634652,p11,True
a57218685929,p11,False
a18535712500,p11,False
a56248593800,p12,True
a10640480600,p12,False
a24923036100,p12,False
a7201675107,p12,False
a36149254500,p13,True
a57191155872,p13,False
a56681156600,p13,False
a7201741468,p13,False
a35088650000,p13,False
a7402786794,p13,False
a56330168500,p14,True
a9942259800,p14,False
a57201257192,p14,False
a56260937200,p14,False
a57081918700,p14,False
a55487415500,p14,False
a7202083837,p15,True
a57210290270,p15,False
a57210288045,p15,False
a57210287166,p15,False
a57211254337,p15,False
a57210292389,p15,False
a57218761022,p15,False
a35147940600,p15,False
a57201912667,p16,True
a7202282831,p16,False
a57218107757,p16,False
a57198832579,p16,False
a57218097969,p16,False
a7003302831,p16,False
a16066928300,p16,False
a57213342768,p17,True
a56584019300,p18,True
a57217581937,p18,False
a57214937519,p18,False
a57217581770,p18,False
a55542008600,p18,False
a56714263700,p18,False
a8608718200,p18,False
a17341858700,p19,True
a42062742100,p19,False
a55802018400,p19,False
a36515506800,p19,False
a56735940800,p19,False
a57194874146,p20,True
a8935141300,p20,False
a57194231165,p20,False
a6601976036,p20,False
a35547089300,p20,False
a7004479819,p20,False
a55413647400,p20,False
a55739722900,p20,False
a7201970805,p20,False
a57217041570,p21,True
a57200117690,p21,False
a57207689986,p21,False
a57200699937,p21,False
a7202316035,p21,False
a7102975249,p21,False
a35209941000,p21,False
a57219312906,p22,True
a57215534774,p22,False
a35303536900,p22,False
a57216811262,p23,True
a8705255200,p23,False
a57218879246,p24,True
a57218883196,p24,False
a57218883472,p24,False
a57218875152,p24,False
