idA,name
a57218202833,Gautam A 
a7004904337,Crandall J W 
a7005513246,Goodrich M A 
a6508306234,de Moura Oliveira P B 
a9277159100,Hedengren J D 
a6507358470,Boaventura-Cunha J 
a53879700900,Hajimirzaie S M 
a26642910500,Hotchkiss R H 
a57204031131,Bunnell S 
a6602649851,Gorrell S 
a56830076500,Salmon J 
a57204029674,Thelin C 
a57204032253,Ruoti C 
a57217149830,Richardson M 
a57217149403,Cannon S 
a57217145377,Teichert L 
a57217146534,Vance A 
a57217147399,Kramer I 
a57217147006,Barter M 
a57210571665,King J 
a55611356500,Callahan C 
a57218886193,Stanković A M 
a57210260262,Sarić A A 
a6701777223,Sarić A T 
a8448666000,Transtrum M K 
a36149254500,Hackney D 
a57191155872,Goode T 
a56681156600,Seng F 
a35088650000,Pankow M 
a7201741468,Schultz S 
a7402786794,Peters K 
a57191822951,Coburn J 
a57188654880,Freeman I 
a57192247939,Švenda V G 
a57218593962,Walker Z 
a57218593446,Wells T 
a57218591162,Lay K 
a57201772566,Sampad M J N 
a16422844400,Schmidt H 
a7102975249,Hawkins A 
a57193338296,Wu F 
a57194692502,Zhou Z 
a57202017958,Temizel-Sekeryan S 
a57205128747,Ghamkhar R 
a55829396600,Hicks A L 
a57201634652,Larsen B 
a57218685929,Hunt J 
a18535712500,Hovanski Y 
a56248593800,Peterson C K 
a10640480600,Casbeer D W 
a24923036100,Manyam S G 
a7201675107,Rasmussen S 
a56330168500,Zou Z 
a9942259800,Scott M A 
a57201257192,Miao D 
a56260937200,Bischoff M 
a57081918700,Oesterle B 
a55487415500,Dornisch W 
a7202083837,Rice M 
a57210290270,Clark B 
a57210288045,Flanary D 
a57210287166,Jensen B 
a57211254337,Nelson N 
a57210292389,Norman K 
a57218761022,Perrins E 
a35147940600,Harrison W K 
a57201912667,Hendricks L J 
a7202282831,Baxter J S 
a57218107757,Chou Y 
a57198832579,Thomas M 
a57218097969,Boekweg E 
a7003302831,Guthrie W S 
a16066928300,Mazzeo B A 
a57213342768,Gardner J W 
a56584019300,Mulford R B 
a57217581937,Salt S D 
a57214937519,Hyatt L P 
a57217581770,Meaker K S 
a55542008600,Dwivedi V H 
a56714263700,Jones M R 
a8608718200,Iverson B D 
a17341858700,Chowdhury S 
a42062742100,Zhuang H 
a55802018400,Coleman S 
a36515506800,Patala S 
a56735940800,Bair J 
a57194874146,Lu W 
a8935141300,Cao Q 
a57194231165,Xu B 
a6601976036,Adidharma H 
a35547089300,Gasem K 
a7004479819,Argyle M 
a55413647400,Zhang F 
a55739722900,Zhang Y 
a7201970805,Fan M 
a57217041570,Webb D 
a57200117690,Song Y 
a57207689986,Rozsa J 
a57200699937,Gustafson E 
a7202316035,Austin D E 
a35209941000,Chiang S -H W 
a57219312906,Lam S -H 
a57215534774,Brewer E 
a35303536900,Ng Y -K 
a57216811262,Erickson H C 
a8705255200,Homer E R 
a57218879246,Huang J -S 
a57218883196,Huang Y -C 
a57218883472,Kao C -W 
a57218875152,Hsu C -W 
a36444802300,Chen C -H 
a7402967162,Wallace J W 
a56196521900,Mahmood A 
a35597296700,Jensen M A 
a55649569259,Mehmood R 
a55849071700,Koch D P 
a57190404271,Wheeler D O 
a35562442700,Beard R W 
a7006542177,McLain T W 
a36668159600,Brink K M 
a57200206301,Amini E 
a57190131647,Babaei A 
a35612908400,Mehrnia M R 
a8208300700,Shayegan J 
a57192643299,Safdari M -S 
a57215136260,Weaver B P 
a56442655200,Kaufeld K 
a55827824100,Warr R 
a57197773578,Pack A T 
a57204761536,Phipps E R 
a7004300863,Mattson C A 
a8421746800,Dahlin E C 
a57203660684,White J H 
a57218095797,Clark R 
a57218102993,Dickinson T 
a57218105310,Loaiza J 
a57197795830,Geiger D W 
a14033673100,Charles S K 
a57205285411,Rose M T 
a57205288709,Pielstick B D 
a57205293533,Jones Z T 
a6701746882,Sommerfeldt S D 
a10141271600,Gee K L 
a7202277096,Thomson S L 
a6701720294,Magleby S P 
a57211516485,Howell L L 
a57200077532,Willis J 
a55613237293,Johnson J 
a57208246750,Libano F 
a57206834042,Wilson B 
a7003292762,Wirthlin M 
a19638969800,Rech P 
a55301279200,Brunhaver J 
a7402258065,Lawson J 
a36987999600,Afran M S 
a7003868048,Saquib M 
a57190402922,Ellingson G 
a9535406000,Sansom R L 
a56703308500,Bodily R 
a57216531463,Bates C O 
a23050937200,Leary H 
a57199050938,Small K A 
a57211158470,Clayburn Z 
a57195286623,DeMott R 
a35790633100,Primig S 
a12142543700,Fullwood D 
a8715877100,Taheri M L 
a57209474608,McLeod A R 
a12445208100,Bruening D 
a35868117400,Johnson A W 
a57209473859,Ward J 
a35867849600,Hunter I 
a8929123100,Camacho R M 
a57215607275,Fish D 
a57215609504,Simmons M 
a57200118993,Awerkamp P 
a57215613881,Anderson R 
a57215598228,Carlson S 
a57211987837,Laney J 
a57209538650,Viglione M 
a7005636820,Nordin G P 
a57202910818,Knighton B E 
a55213245300,Nielson M 
a57211642778,Hardy R T 
a57196372172,Alejandro A 
a57208225620,Rawlings L 
a57209824884,Johnson J A 
a6701646284,Peatross J 
a57216751001,Atkinson N 
a57216748895,Hodge D 
a36913263000,Pratt B 
a57217283178,Romero M 
a57216749286,Schulzke C 
a7005357023,Ware M 
a57192943554,Ottosson H J 
a56709287700,Hamilton E S 
a7003772744,Crane N B 
a57195970826,Aryal B R 
a57203943386,Ranasinghe D R 
a57193834529,Westover T R 
a57203942414,Calvopiña D G 
a7410190129,Davis R C 
a7007046711,Harb J N 
a7006111578,Woolley A T 
a56371366400,Fujimoto M S 
a57202818911,Lyman C A 
a7102523474,Clement M J 
a7003927879,Bunimovich L 
a57217245563,Passey D J 
a57198519795,Smith D 
a55100119300,Webb B 
a39861044100,Borden M J 
a36708895400,Thomas D C 
a57210419894,Yu M 
a14059209700,Zhang D 
a7406665619,Lee D -J 
a7201793184,Desai A 
a56692412900,Gunnarsson A 
a57211105311,Andersson K 
a7202518970,Adams B R 
a12445742400,Fredriksson C 
a57218836048,Peters W 
a57194504247,Jones T 
a7202040335,Efimov A 
a14631026900,Pedersoli E 
a55159798000,Foglia L 
a54941111500,Mincigrucci R 
a55258876800,Nikolov I 
a7006038251,Trebino R 
a20735824800,Sandberg R 
a55846910700,Danailov M 
a6602657620,Capotondi F 
a14033765300,Bencivenga F 
a13005462200,Bowlan P 
a55770396700,Frazer D 
a23099630500,Hosemann P 
a57215680724,Warr C 
a57205652801,Valdoz J C 
a57195427378,Bickham B P 
a57215684781,Knight C J 
a57215687139,Franks N A 
a57215697686,Chartrand N 
a56251876800,Van Ry P M 
a7202687601,Christensen K A 
a56514586700,Cook A D 
a57197765353,Stevenson P D 
a57188681207,Hyatt P 
a36349287300,Killpack M D 
a57189235340,Keller A 
a55547123342,Anderson J 
a25639041400,Wen S -J 
a55967471000,Fung R 
a57218221803,Chambers C 
a56387524600,Ganjalizadeh V 
a57202735625,Wright J G 
a7003381644,Warnick K F 
a6701834327,Selvan K T 
a57202445593,Fistler M 
a7004609408,Kerstein A 
a8660143800,Lignell D O 
a6506736843,Oevermann M 
a6507359986,Shamsabadi A 
a57214365851,Schwicht D E W 
a57212088299,Dasmeh A 
a7003663333,Rollins K M 
a6602889035,Taciroglu E 
a57216181629,Manandhar K 
a36245410800,Ren Y 
a57191110417,Stasak D 
a56622088300,Hou H 
a57195921912,Kirsch D 
a57215904613,Sarker S 
a7402756644,Mehta A 
a57217317667,Sardar S 
a57195591421,Xiao M 
a57217789464,Weaver J L 
a57216183270,León C 
a57207901363,Hart G 
a34873697600,Sunaoshi T 
a56767836200,Lemmon J P 
a7102900497,Takeuchi I 
a57196422740,Howell R G 
a7403518015,Jensen R R 
a36852156000,Petersen S L 
a16245238300,Larsen R T 
a57202776341,Bahari M 
a57212879455,Malmberg M A 
a57212877661,Brown D M 
a57212877401,Hadi Nazari S 
a35262249500,Lewis R S 
a7102405529,Watt G D 
a57212107391,Petrie A 
a57216754583,Kinnison W 
a8342785400,Layton K 
a57190228554,Taysom B S 
a7102879142,Sorensen C D 
a57211891331,Guo Z 
a57199244740,Zhang M 
a57204433875,Simons T 
a57215212754,Fuller S G 
a57215211789,McCown A S 
a57214076898,Clayton M F 
a57198146081,Bilodeau R A 
a7006441571,Bowden A E 
a57191873151,Ziaee M 
a57216430816,Mahmood A 
a55971908500,Jin M 
a54415193700,Zhu B 
a56489679500,Mo J 
a55522618700,Yang Z 
a55864283000,Zhang X 
a57209110872,Wu R 
a57206455220,Beutler J 
a7103248108,Baxter L L 
a57191108291,Morgan W S 
a57212383793,Christensen J E 
a57212379321,Hamilton P K 
a57202904399,Jorgensen J J 
a7403279876,Campbell B J 
a6507391043,Forcade R W 
a57196261400,Kunzler J W 
a57214229367,Bartschi J M 
a57214855898,Schnepf P D 
a57215031057,Davis A 
a6701610428,Vanfleet R 
a7403218372,Jensen B D 
a57200515115,Kurniawan C 
a57194698845,Baird S 
a35409277700,Johnson O K 
a57193749678,Searle M 
a55457444300,Crockett J 
a6701863708,Maynes D 
a57201666213,Park J L 
a55694540600,Canizales K A 
a7003545107,Woodfield B F 
a13406135400,Stowers K J 
