chair,idCC,idC
Morgan J C ,cc0,c0
Warr R ,cc1,c1
Imran M ,cc2,c2
Hunt J P ,cc3,c3
Dornisch W ,cc4,c4
Marr K M ,cc5,c5
Zhang Y ,cc6,c6
Ban H ,cc7,c7
Freeman I ,cc8,c8
Forcade R W ,cc9,c9
Fanning D T ,cc10,c10
Camacho R M ,cc11,c11
Parate K ,cc12,c12
Pehrson N A ,cc13,c13
Yellowhorse A D ,cc14,c14
Medina J ,cc15,c15
Abraham Martin R ,cc16,c16
Leavitt J C ,cc17,c17
Bong H J ,cc18,c18
Hammond A M ,cc19,c19
Yang X ,cc20,c20
Noyce S G ,cc21,c21
Weaver J M ,cc22,c22
Pires dos Santos R ,cc23,c23
Rollins K M ,cc24,c24
Magleby S P ,cc25,c25
Zhu Y ,cc26,c26
Allen J D ,cc27,c27
Harrison C R ,cc28,c28
Bentley N L ,cc29,c29
Zephirin T ,cc30,c30
Zimmerman T K ,cc31,c31
Durdle C A ,cc32,c32
Cai H ,cc33,c33
Basko R ,cc34,c34
Allen D ,cc35,c35
Fernelius M H ,cc36,c36
Seegmiller R E ,cc37,c37
Robinson K P ,cc38,c38
Zou Z ,cc39,c39
Butler M ,cc40,c40
Chapman S C ,cc41,c41
Umer R ,cc42,c42
Ayoubi P ,cc43,c43
Davis T M ,cc44,c44
Renouard J ,cc45,c45
George A ,cc46,c46
McCown A S ,cc47,c47
Nussbaum J ,cc48,c48
Monteiro T ,cc49,c49
Seeley M K ,cc50,c50
Manyam S G ,cc51,c51
Heath Ogden T ,cc52,c52
Besendorfer J ,cc53,c53
Aarsnes U J ,cc54,c54
Watt R K ,cc55,c55
Biwer C M ,cc56,c56
Laspalas M ,cc57,c57
Villa J M ,cc58,c58
Garcia E ,cc59,c59
Liu Y ,cc60,c60
Schroedter T L ,cc61,c61
Watts-Englert J ,cc62,c62
Amini E ,cc63,c63
Yang Z ,cc64,c64
Roberts M ,cc65,c65
Snell Q ,cc66,c66
Leslie Youd T ,cc67,c67
Whiting T A ,cc68,c68
