idC,conference
c0,Advances in Intelligent Systems and Computing
c1,Lecture Notes in Electrical Engineering
c2,Midwest Symposium on Circuits and Systems
c3,"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020"
c4,Proceedings of the American Control Conference
c5,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS
c6,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020"
c7,SAE Technical Papers
c8,IEEE International Reliability Physics Symposium Proceedings
c9,Proceedings of the Custom Integrated Circuits Conference
c10,AIAA Scitech 2020 Forum
c11,Proceedings - Annual Reliability and Maintainability Symposium
c12,Conference Proceedings of the Society for Experimental Mechanics Series
c13,Proceedings of SPIE - The International Society for Optical Engineering
c14,Geotechnical Special Publication
c15,"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019"
c16,"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings"
c17,"DATA 2019 - Proceedings of the 2nd ACM Workshop on Data Acquisition To Analysis, Part of SenSys 2019"
c18,Proceedings - IEEE Military Communications Conference MILCOM
c19,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics"
c20,"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019"
c21,"51st North American Power Symposium, NAPS 2019"
c22,"ACM-BCB 2019 - Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics"
c23,"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz"
c24,"2019 IEEE Photonics Conference, IPC 2019 - Proceedings"
c25,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA"
c26,ESSCIRC 2019 - IEEE 45th European Solid State Circuits Conference
c27,IEEE Radiation Effects Data Workshop
c28,"Proceedings - 2019 IEEE Space Computing Conference, SCC 2019"
c29,IEEE International Professional Communication Conference
c30,"ASEE Annual Conference and Exposition, Conference Proceedings"
c31,"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019"
c32,"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019"
c33,"2019 IEEE Milan PowerTech, PowerTech 2019"
c34,IEEE International Conference on Communications
c35,"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings"
c36,IEEE Vehicular Technology Conference
c37,"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019"
c38,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays
c39,"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019"
c40,Proceedings of the IEEE Conference on Decision and Control
c41,"Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018"
