idJV,idJ,volume,date
jv0,j0,146,2020
jv1,j1,20,2020
jv2,j2,55,2020
jv3,j3,189,2020
jv4,j4,60,2020
jv5,j5,92,2020
jv6,j6,122,2020
jv7,j7,31,2020
jv8,j8,270,2020
jv9,j9,58,2020
jv10,j10,5,2020
jv11,j4,59,2020
jv12,j11,370,2020
jv13,j12,15,2020
jv14,j13,39,2020
jv15,j14,29,2020
jv16,j15,178,2020
jv17,j16,72,2020
jv18,j8,265,2020
jv19,j17,185,2020
jv20,j18,56,2020
jv21,j19,39,2020
jv22,j20,36,2020
jv23,j21,32,2020
jv24,j22,142,2020
jv25,j23,7,2020
jv26,j24,142,2020
jv27,j25,68,2020
jv28,j26,149,2020
jv29,j27,67,2020
jv30,j28,14,2020
jv31,j29,36,2020
jv32,j30,67,2020
jv33,j31,29,2020
jv34,j32,785,2020
jv35,j33,12,2020
jv36,j34,7,2020
jv37,j35,30,2020
jv38,j36,33,2020
jv39,j37,13,2020
jv40,j38,30,2020
jv41,j11,363,2020
jv42,j39,9,2020
jv43,j40,13,2020
jv44,j41,3,2020
jv45,j42,11,2020
jv46,j43,62,2020
jv47,j44,5,2020
jv48,j45,25,2020
jv49,j46,3,2020
jv50,j47,4,2020
jv51,j48,261,2020
jv52,j49,150,2020
jv53,j50,303,2020
jv54,j51,4,2020
jv55,j26,145,2020
jv56,j48,260,2020
jv57,j52,173,2020
jv58,j53,34,2020
jv59,j54,29,2020
jv60,j55,55,2020
jv61,j56,148,2020
jv62,j57,293,2020
jv63,j58,97,2020
jv64,j59,27,2020
jv65,j56,147,2020
jv66,j60,38,2020
jv67,j32,772,2020
jv68,j8,244,2020
jv69,j61,56,2020
jv70,j62,31,2020
jv71,j63,18,2020
jv72,j64,83,2020
jv73,j65,1,2020
jv74,j66,1,2020
jv75,j19,1,2020
jv76,j67,17,2020
jv77,j68,109,2020
jv78,j69,58,2020
jv79,j70,2674,2020
jv80,j71,1,2020
jv81,j72,17,2020
jv82,j73,5,2020
jv83,j26,143,2020
jv84,j58,1,2020
jv85,j74,19,2020
jv86,j75,1,2020
jv87,j76,8,2020
jv88,j77,72,2020
jv89,j78,45,2020
jv90,j79,1,2020
jv91,j80,66,2020
jv92,j81,35,2020
jv93,j82,234,2019
jv94,j83,4,2019
jv95,j26,142,2019
jv96,j84,141,2019
jv97,j25,67,2019
jv98,j65,53,2019
jv99,j11,357,2019
jv100,j85,5,2019
jv101,j86,67,2019
jv102,j87,29,2019
jv103,j56,143,2019
jv104,j39,8,2019
jv105,j88,17,2019
jv106,j89,64,2019
jv107,j90,79,2019
jv108,j91,28,2019
jv109,j92,39,2019
jv110,j93,145,2019
jv111,j18,55,2019
jv112,j26,140,2019
jv113,j94,125,2019
jv114,j35,29,2019
jv115,j95,4,2019
jv116,j56,140,2019
jv117,j96,58,2019
jv118,j97,13,2019
jv119,j98,2,2019
jv120,j99,23,2019
jv121,j100,58,2019
jv122,j101,293,2019
jv123,j57,284,2019
jv124,j36,28,2019
jv125,j24,141,2019
jv126,j94,123,2019
jv127,j102,14,2019
jv128,j103,174,2019
jv129,j104,220,2019
jv130,j21,31,2019
jv131,j105,30,2019
jv132,j106,145,2019
jv133,j107,153,2019
jv134,j108,57,2019
jv135,j109,86,2019
jv136,j56,137,2019
jv137,j33,11,2019
jv138,j110,2,2019
jv139,j111,50,2019
jv140,j11,350,2019
jv141,j52,164,2019
jv142,j112,19,2019
jv143,j113,141,2019
jv144,j114,19,2019
jv145,j115,62,2019
jv146,j11,349,2019
jv147,j116,20,2019
jv148,j51,3,2019
jv149,j117,117,2019
jv150,j94,121,2019
jv151,j118,9,2019
jv152,j119,121,2019
jv153,j120,13,2019
jv154,j121,62,2019
jv155,j122,27,2019
jv156,j123,78,2019
jv157,j124,57,2019
jv158,j125,58,2019
jv159,j52,161,2019
jv160,j126,11,2019
jv161,j127,11,2019
jv162,j128,22,2019
jv163,j129,27,2019
jv164,j130,141,2019
jv165,j131,35,2019
jv166,j10,4,2019
jv167,j132,202,2019
jv168,j133,25,2019
jv169,j13,38,2019
jv170,j44,4,2019
jv171,j134,265,2019
jv172,j22,141,2019
jv173,j135,57,2019
jv174,j68,102,2019
jv175,j136,3,2019
jv176,j137,84,2019
jv177,j138,24,2019
jv178,j56,129,2019
jv179,j139,100,2019
jv180,j140,90,2019
jv181,j29,35,2019
jv182,j141,66,2019
jv183,j52,157,2019
jv184,j142,9,2019
jv185,j143,10,2019
jv186,j144,1,2019
jv187,j145,56,2019
jv188,j146,63,2019
jv189,j147,42,2019
jv190,j67,16,2019
jv191,j148,37,2019
jv192,j149,13,2019
jv193,j150,18,2019
jv194,j151,27,2019
jv195,j72,16,2019
jv196,j152,25,2019
jv197,j153,51,2019
jv198,j154,12,2019
jv199,j155,5,2019
jv200,j156,18,2019
jv201,j94,116,2019
jv202,j27,66,2019
jv203,j157,1,2019
jv204,j52,156,2019
jv205,j158,4,2019
jv206,j159,27,2019
jv207,j160,34,2019
jv208,j161,1,2019
jv209,j162,4,2019
jv210,j163,1,2019
jv211,j164,1,2019
jv212,j165,32,2019
jv213,j166,1,2019
jv214,j167,1,2019
jv215,j168,6,2019
jv216,j169,63,2019
jv217,j170,18,2018
jv218,j70,2672,2018
jv219,j171,140,2018
jv220,j56,127,2018
jv221,j172,24,2018
jv222,j127,10,2018
jv223,j173,31,2018
jv224,j81,33,2018
jv225,j0,144,2018
jv226,j31,27,2018
jv227,j111,49,2018
jv228,j174,32,2018
jv229,j48,230,2018
jv230,j67,15,2018
jv231,j175,98,2018
jv232,j56,126,2018
jv233,j176,54,2018
jv234,j152,24,2018
jv235,j177,150,2018
jv236,j178,36,2018
jv237,j42,9,2018
jv238,j179,138,2018
jv239,j48,228,2018
jv240,j180,173,2018
jv241,j181,117,2018
jv242,j100,57,2018
jv243,j182,14,2018
jv244,j183,53,2018
jv245,j52,153,2018
jv246,j184,15,2018
jv247,j185,8,2018
jv248,j186,13,2018
jv249,j32,734,2018
jv250,j166,46,2018
jv251,j187,28,2018
jv252,j56,124,2018
jv253,j188,88,2018
jv254,j94,112,2018
jv255,j189,3,2018
jv256,j190,30,2018
jv257,j191,38,2018
jv258,j26,126,2018
jv259,j192,1,2018
jv260,j193,61,2018
jv261,j194,43,2018
jv262,j156,17,2018
jv263,j86,66,2018
jv264,j195,107,2018
jv265,j26,125,2018
jv266,j196,4,2018
jv267,j197,375,2018
jv268,j11,335,2018
jv269,j141,65,2018
jv270,j107,140,2018
jv271,j56,121,2018
jv272,j93,144,2018
jv273,j198,54,2018
jv274,j22,140,2018
jv275,j106,144,2018
jv276,j112,18,2018
jv277,j16,70,2018
jv278,j199,29,2018
jv279,j137,73,2018
jv280,j200,1,2018
jv281,j201,4,2018
jv282,j202,12,2018
jv283,j134,255,2018
jv284,j11,333,2018
jv285,j203,15,2018
jv286,j91,27,2018
jv287,j204,57,2018
jv288,j205,376,2018
jv289,j35,28,2018
jv290,j68,95,2018
jv291,j206,11,2018
jv292,j207,113,2018
jv293,j28,12,2018
jv294,j208,118,2018
jv295,j209,96,2018
jv296,j210,19,2018
jv297,j211,7,2018
jv298,j212,11,2018
jv299,j101,255,2018
jv300,j103,137,2018
jv301,j32,710,2018
jv302,j213,12,2018
jv303,j131,34,2018
jv304,j27,65,2018
jv305,j214,32,2018
jv306,j77,70,2018
jv307,j124,51,2018
jv308,j215,35,2018
jv309,j215,34,2018
jv310,j216,1,2018
jv311,j78,43,2018
jv312,j69,56,2018
jv313,j15,128,2018
jv314,j72,15,2018
jv315,j217,1,2018
jv316,j218,2018,2018
jv317,j219,440,2018
jv318,j204,56,2017
jv319,j86,65,2017
