conference,idC,idP,title,idK,keyword
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k0,Environment
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k1,Goal(s)
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k2,Intelligent agents
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k3,Proficiency
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k4,Self-assessment
Advances in Intelligent Systems and Computing,c0,p0,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,k5,System
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k641,Design for the developing world
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k642,Engineering for global development
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k967,Clean water
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k968,Cup seal
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k969,Hand pump
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k970,India Mark
"2018 ASDSO - Dam Safety, Conference Proceedings",c105,p325,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,k971,Village Drill
Proceedings of the International Masonry Society Conferences,c106,p326,Advances in Signal Processing for Friction Stir Welding Temperature Control,k254,Temperature control
Proceedings of the International Masonry Society Conferences,c106,p326,Advances in Signal Processing for Friction Stir Welding Temperature Control,k308,Friction stir welding
Proceedings of the International Masonry Society Conferences,c106,p326,Advances in Signal Processing for Friction Stir Welding Temperature Control,k972,Signal processing
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k980,Aluminum mirror coatings
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k981,FUV
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k982,Lifetime
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k983,Magnesium fluoride
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k984,Oxidation
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k985,Quality assurance
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k986,Spectroscopic ellipsometry
33rd Technical Conference of the American Society for Composites 2018,c107,p331,Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,k987,XPS
Pacific Symposium on Biocomputing,c108,p332,3D printing for lab-on-a-chip devices with 20 μm channels,k206,3D printing
Pacific Symposium on Biocomputing,c108,p332,3D printing for lab-on-a-chip devices with 20 μm channels,k988,Lab on a chip
Pacific Symposium on Biocomputing,c108,p332,3D printing for lab-on-a-chip devices with 20 μm channels,k989,Microfluidics
Pacific Symposium on Biocomputing,c108,p332,3D printing for lab-on-a-chip devices with 20 μm channels,k990,Stereolithography
Proceedings - Annual Reliability and Maintainability Symposium,c11,p61,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,k143,reliability
Proceedings - Annual Reliability and Maintainability Symposium,c11,p61,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,k216,electronic design automation
Proceedings - Annual Reliability and Maintainability Symposium,c11,p61,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,k217,fault detection
Proceedings - Annual Reliability and Maintainability Symposium,c11,p61,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,k218,radiation effects
Proceedings - Annual Reliability and Maintainability Symposium,c11,p61,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,k219,redundancy
Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,c112,p336,Effects of laser ablation parameters to pattern high purity magnesium surfaces,k991,Laser ablation
Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,c112,p336,Effects of laser ablation parameters to pattern high purity magnesium surfaces,k992,Magnesium
Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,c112,p336,Effects of laser ablation parameters to pattern high purity magnesium surfaces,k993,Micro machining
"AIAA Spacecraft Structures Conference, 2018",c114,p338,Evaluation and demonstration of take home laboratory kit,k994,Automated assessment
"AIAA Spacecraft Structures Conference, 2018",c114,p338,Evaluation and demonstration of take home laboratory kit,k995,software tools in control
"AIAA Spacecraft Structures Conference, 2018",c114,p338,Evaluation and demonstration of take home laboratory kit,k996,student expectations
"Pipelines 2018: Utility Engineering, Surveying, and Multidisciplinary Topics - Proceedings of Sessions of the Pipelines 2018 Conference",c116,p343,Changes in perceptions of ethical climate among undergraduate engineering students,k1005,Ethical climate
"Pipelines 2018: Utility Engineering, Surveying, and Multidisciplinary Topics - Proceedings of Sessions of the Pipelines 2018 Conference",c116,p343,Changes in perceptions of ethical climate among undergraduate engineering students,k1006,Ethics
"Pipelines 2018: Utility Engineering, Surveying, and Multidisciplinary Topics - Proceedings of Sessions of the Pipelines 2018 Conference",c116,p343,Changes in perceptions of ethical climate among undergraduate engineering students,k1007,Mixed-methods
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k243,ADC
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k244,comparator
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k245,low power
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k246,SAR
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k247,subthrehold operation
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k248,ultra low supply
Conference Proceedings of the Society for Experimental Mechanics Series,c12,p69,A 0 2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,k249,variations
IEEE MTT-S International Microwave Symposium Digest,c124,p353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,k1011,Capstone
IEEE MTT-S International Microwave Symposium Digest,c124,p353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,k1012,Customer needs
IEEE MTT-S International Microwave Symposium Digest,c124,p353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,k1013,Design deliverables
IEEE MTT-S International Microwave Symposium Digest,c124,p353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,k1014,Project descriptions
IEEE MTT-S International Microwave Symposium Digest,c124,p353,Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,k1015,Sponsor expectations
IEEE International Conference on Rehabilitation Robotics,c125,p354,The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,k1016,Bi-objective
IEEE International Conference on Rehabilitation Robotics,c125,p354,The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,k1017,Design space exploration
IEEE International Conference on Rehabilitation Robotics,c125,p354,The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,k1018,Technology tactics plot
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1022,cyber-physical
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1023,digital twin
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1024,exhaustive search
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1025,PID tuning
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1026,smart tuning
"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",c126,p356,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,k1027,temperature control
Proceedings - IEEE International Conference on Robotics and Automation,c127,p364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,k1041,Femtosecond laser micromachining
Proceedings - IEEE International Conference on Robotics and Automation,c127,p364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,k1042,Guided-wave acousto-optics
Proceedings - IEEE International Conference on Robotics and Automation,c127,p364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,k1043,Holographic display
Proceedings - IEEE International Conference on Robotics and Automation,c127,p364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,k1044,Surface acoustic waves
Proceedings - IEEE International Conference on Robotics and Automation,c127,p364,Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,k903,Lithium niobate
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1045,Chirped fiber Bragg grating
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1046,Phase change materials
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1047,Pump-probe spectroscopy
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1048,Single-shot spectroscopy
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1049,Time-stretching
"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",c128,p365,Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,k1050,Timeencoding
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1056,Architectural programming
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1057,Design science
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1058,Serious games
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1059,Simulations
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1060,Target value design
"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",c130,p368,Development and testing of an innovative architectural programming simulation as a precursor to target value design,k1061,Value
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k361,Adaptive thinking
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k362,Aptitudes
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k363,Creative thinking
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k364,Design thinking
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k365,Divergent thinking
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k366,Tolerance for ambiguity
Geotechnical Special Publication,c14,p97,"Designer Thinking, A Unique Combination of Cognitive Modes",k367,Visual thinking
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k1100,Data
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k1101,Disasters
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k1102,Emergency response
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k1103,Framework
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k1104,Hurricanes
AAAI Workshop - Technical Report,c141,p391,When official systems overload: A framework for finding social media calls for help during evacuations,k936,Social media
"35th Wind Energy Symposium, 2017",c144,p395,Requirements for software to support the use of social media in emergency management: A Delphi study,k1105,Crisis informatics
"35th Wind Energy Symposium, 2017",c144,p395,Requirements for software to support the use of social media in emergency management: A Delphi study,k1106,Delphi method
"35th Wind Energy Symposium, 2017",c144,p395,Requirements for software to support the use of social media in emergency management: A Delphi study,k1107,Emergency management
"35th Wind Energy Symposium, 2017",c144,p395,Requirements for software to support the use of social media in emergency management: A Delphi study,k1108,Software requirements
"35th Wind Energy Symposium, 2017",c144,p395,Requirements for software to support the use of social media in emergency management: A Delphi study,k936,Social media
International Symposium on Advances in Computational Heat Transfer,c149,p403,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,k1122,Global Optimization
International Symposium on Advances in Computational Heat Transfer,c149,p403,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,k550,Parameter Estimation
International Symposium on Advances in Computational Heat Transfer,c149,p403,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,k552,System Identification
"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",c15,p98,Rethinking Our Assumptions About Language Model Evaluation,k368,Common-sense reasoning
"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",c15,p98,Rethinking Our Assumptions About Language Model Evaluation,k369,Language model evaluation
"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",c15,p98,Rethinking Our Assumptions About Language Model Evaluation,k370,Language models
"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",c15,p98,Rethinking Our Assumptions About Language Model Evaluation,k371,Sentence embeddings
"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",c15,p98,Rethinking Our Assumptions About Language Model Evaluation,k372,Word embeddings
"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",c16,p100,Modeling common cause failures in systems with triple modular redundancy and repair,k376,Common cause failure
"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",c16,p100,Modeling common cause failures in systems with triple modular redundancy and repair,k377,Continuous time Markov chains
"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",c16,p100,Modeling common cause failures in systems with triple modular redundancy and repair,k378,Systems with repair
"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",c16,p100,Modeling common cause failures in systems with triple modular redundancy and repair,k379,Triple modular redundancy (TMR)
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k391,Detection
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k392,Information security
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k393,Machine learning
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k394,Malware
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k395,Neural networks
Proceedings - IEEE Military Communications Conference MILCOM,c18,p108,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,k396,Offensive
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",c19,p126,Augmented Reality for Interactive Robot Control,k448,Augmented reality
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",c19,p126,Augmented Reality for Interactive Robot Control,k449,Force feedback
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",c19,p126,Augmented Reality for Interactive Robot Control,k450,Microsoft Hololens
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",c19,p126,Augmented Reality for Interactive Robot Control,k451,Motion planning
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",c19,p126,Augmented Reality for Interactive Robot Control,k452,Robotic arm
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k81,bandpass filter
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k82,biquad filter
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k83,particle detector
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k84,pulse shaping
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k85,Sallen-Key
Midwest Symposium on Circuits and Systems,c2,p21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",k86,Shaper
