journal,idJ,idP,title,idK,keyword
Journal of Computing and Information Science in Engineering,j1,p3,Structural design space exploration using principal component analysis,k6,Computer-aided engineering
Journal of Computing and Information Science in Engineering,j1,p3,Structural design space exploration using principal component analysis,k7,Data-driven engineering
IEEE Robotics and Automation Letters,j10,p60,Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,k212,control architectures and programming
IEEE Robotics and Automation Letters,j10,p60,Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,k213,deep learning in robotics and automation
IEEE Robotics and Automation Letters,j10,p60,Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,k214,model learning for control
IEEE Robotics and Automation Letters,j10,p60,Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,k215,Optimization and optimal control
IEEE Robotics and Automation Letters,j10,p12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",k50,Cooperating robots
IEEE Robotics and Automation Letters,j10,p12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",k51,multi-robot systems
IEEE Robotics and Automation Letters,j10,p12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",k52,path planning for multiple mobile robots or agents
"Sensors and Actuators, B: Chemical",j101,p276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,k437,receiving antennas
"Sensors and Actuators, B: Chemical",j101,p145,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,k513,Calibration
"Sensors and Actuators, B: Chemical",j101,p145,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,k514,cryptography
"Sensors and Actuators, B: Chemical",j101,p145,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,k515,multiple-input-multiple-output (MIMO) systems
"Sensors and Actuators, B: Chemical",j101,p145,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,k516,reciprocity principle
"Sensors and Actuators, B: Chemical",j101,p145,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,k517,security
"Sensors and Actuators, B: Chemical",j101,p259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,k837,Beam steering
"Sensors and Actuators, B: Chemical",j101,p259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,k838,multiple-input multiple-output (MIMO) systems
"Sensors and Actuators, B: Chemical",j101,p259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,k839,mutual coupling
"Sensors and Actuators, B: Chemical",j101,p276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,k839,mutual coupling
"Sensors and Actuators, B: Chemical",j101,p259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,k840,radar antennas
"Sensors and Actuators, B: Chemical",j101,p276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,k886,Array antennas
"Sensors and Actuators, B: Chemical",j101,p276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,k887,element-gain paradox
"Sensors and Actuators, B: Chemical",j101,p276,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,k888,Poynting streamlines
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k518,air conditioning
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k519,endotoxin
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k520,evaporative cooling
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k521,house dust-mite
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k522,hygiene hypothesis
IEEE Transactions on Information Forensics and Security,j102,p146,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",k523,β-(1 → 3)-d-glucans
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k257,Evolutionary learning
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k261,Visual inspection
Composite Structures,j104,p233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",k261,Visual inspection
Composite Structures,j104,p184,Hardware friendly robust synthetic basis feature descriptor,k262,Feature descriptor
Composite Structures,j104,p217,A review of binarized neural networks,k263,FPGA
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k524,Egg quality inspection
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k525,Embedded vision sensor
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k526,Pavement quality evaluation
Composite Structures,j104,p149,Efficient evolutionary learning algorithm for real-time embedded vision applications,k527,Road condition detection
Composite Structures,j104,p184,Hardware friendly robust synthetic basis feature descriptor,k621,Feature detection
Composite Structures,j104,p184,Hardware friendly robust synthetic basis feature descriptor,k622,Feature matching
Composite Structures,j104,p184,Hardware friendly robust synthetic basis feature descriptor,k623,Image correspondence
Composite Structures,j104,p184,Hardware friendly robust synthetic basis feature descriptor,k624,Synthetic basis functions
Composite Structures,j104,p217,A review of binarized neural networks,k699,Binarized Neural Networks
Composite Structures,j104,p217,A review of binarized neural networks,k700,Deep learning
Composite Structures,j104,p217,A review of binarized neural networks,k701,Deep neural network compression
Composite Structures,j104,p217,A review of binarized neural networks,k702,Deep Neural Networks
Composite Structures,j104,p217,A review of binarized neural networks,k703,Digital design
Composite Structures,j104,p233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",k760,Evolutionary constructed features
Composite Structures,j104,p233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",k761,Hardware implementation
Composite Structures,j104,p233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",k762,Jet features
Composite Structures,j104,p233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",k763,Object classification
Journal of Structural Engineering (United States),j106,p151,Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,k528,Approximation algorithms
Journal of Structural Engineering (United States),j106,p151,Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,k529,linear systems
Journal of Structural Engineering (United States),j106,p151,Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,k530,model reduction
Materials Characterization,j107,p152,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,k531,Image gradient
Materials Characterization,j107,p152,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,k532,Image quality assessment
Materials Characterization,j107,p152,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,k533,Local binary pattern
Materials Characterization,j107,p152,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,k534,No-reference
Materials Characterization,j107,p152,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,k535,Phase congruency
IEEE Transactions on Geoscience and Remote Sensing,j108,p153,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,k536,compliant mechanisms
IEEE Transactions on Geoscience and Remote Sensing,j108,p153,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,k537,heat set
IEEE Transactions on Geoscience and Remote Sensing,j108,p153,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,k538,origami
IEEE Transactions on Geoscience and Remote Sensing,j108,p153,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,k539,origami manufacturing
IEEE Transactions on Geoscience and Remote Sensing,j108,p153,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,k540,polyethylene terephthalate
