idK,idP
k0,p0
k1,p0
k2,p0
k3,p0
k4,p0
k5,p0
k6,p3
k7,p3
k8,p4
k9,p4
k10,p4
k11,p4
k12,p5
k13,p5
k14,p5
k15,p5
k16,p5
k17,p5
k18,p6
k19,p6
k20,p6
k21,p6
k22,p6
k23,p7
k24,p7
k25,p7
k26,p7
k27,p7
k28,p7
k29,p7
k30,p8
k31,p8
k32,p8
k33,p8
k34,p8
k35,p9
k36,p9
k37,p9
k38,p9
k39,p9
k40,p10
k41,p10
k42,p10
k43,p10
k44,p10
k45,p11
k46,p11
k47,p11
k48,p11
k49,p11
k50,p12
k51,p12
k52,p12
k53,p13
k54,p13
k55,p13
k56,p14
k57,p14
k58,p14
k59,p14
k60,p14
k61,p14
k62,p16
k63,p16
k64,p16
k65,p16
k66,p16
k67,p17
k68,p17
k69,p17
k70,p17
k71,p17
k72,p18
k73,p18
k74,p18
k75,p20
k76,p20
k77,p20
k78,p20
k79,p20
k80,p20
k81,p21
k82,p21
k83,p21
k84,p21
k85,p21
k86,p21
k87,p22
k88,p22
k89,p22
k90,p22
k91,p23
k92,p23
k93,p23
k94,p24
k95,p24
k96,p24
k97,p24
k98,p24
k99,p24
k100,p24
k101,p25
k102,p25
k103,p25
k104,p25
k105,p25
k106,p25
k107,p26
k108,p26
k109,p26
k110,p26
k111,p27
k112,p27
k113,p27
k114,p27
k115,p27
k116,p29
k117,p29
k118,p29
k119,p29
k120,p29
k121,p30
k122,p30
k123,p30
k104,p30
k124,p30
k125,p30
k126,p31
k127,p31
k128,p31
k129,p31
k130,p31
k131,p31
k132,p31
k133,p31
k134,p31
k135,p31
k136,p33
k137,p33
k138,p33
k139,p33
k140,p35
k141,p35
k142,p35
k143,p35
k144,p37
k145,p37
k146,p37
k147,p37
k148,p37
k149,p37
k150,p38
k151,p38
k152,p38
k153,p38
k154,p38
k155,p40
k156,p40
k157,p40
k158,p40
k159,p40
k160,p40
k161,p41
k162,p41
k163,p41
k164,p41
k165,p41
k166,p41
k167,p42
k168,p42
k169,p42
k170,p43
k171,p43
k116,p46
k117,p46
k118,p46
k119,p46
k172,p48
k173,p48
k174,p48
k175,p48
k176,p49
k177,p49
k178,p49
k179,p49
k180,p49
k181,p49
k182,p50
k183,p50
k184,p50
k185,p50
k186,p51
k187,p51
k188,p51
k189,p51
k190,p51
k191,p51
k192,p52
k193,p52
k57,p52
k194,p52
k195,p52
k196,p52
k197,p53
k198,p53
k199,p53
k200,p53
k201,p53
k202,p54
k203,p54
k204,p54
k205,p54
k206,p57
k207,p57
k208,p57
k38,p57
k209,p57
k210,p57
k116,p59
k117,p59
k211,p59
k119,p59
k212,p60
k213,p60
k214,p60
k215,p60
k216,p61
k217,p61
k218,p61
k219,p61
k143,p61
k220,p62
k221,p62
k222,p62
k223,p62
k224,p62
k225,p62
k226,p62
k227,p62
k228,p62
k229,p66
k230,p66
k231,p66
k232,p66
k233,p66
k234,p67
k235,p67
k236,p67
k237,p67
k238,p68
k239,p68
k240,p68
k241,p68
k242,p68
k243,p69
k244,p69
k245,p69
k246,p69
k247,p69
k248,p69
k249,p69
k250,p70
k251,p70
k252,p70
k253,p70
k254,p70
k255,p70
k256,p71
k257,p71
k258,p71
k259,p71
k260,p71
k261,p71
k262,p72
k263,p72
k264,p72
k265,p73
k266,p73
k267,p73
k268,p73
k161,p74
k269,p74
k270,p74
k271,p74
k272,p74
k273,p74
k274,p74
k275,p74
k276,p75
k277,p75
k278,p75
k279,p75
k280,p76
k281,p76
k78,p76
k282,p76
k283,p77
k284,p77
k285,p77
k286,p77
k287,p77
k288,p77
k289,p78
k290,p78
k291,p78
k292,p78
k293,p78
k294,p79
k295,p79
k296,p79
k297,p79
k298,p79
k299,p81
k300,p81
k301,p81
k302,p81
k303,p81
k304,p82
k75,p82
k93,p82
k305,p82
k306,p82
k307,p83
k308,p83
k309,p83
k310,p83
k254,p83
k311,p84
k312,p84
k313,p84
k314,p84
k315,p84
k316,p84
k150,p85
k317,p85
k318,p85
k319,p85
k320,p85
k321,p85
k322,p86
k323,p86
k324,p86
k325,p86
k326,p88
k327,p88
k328,p88
k329,p88
k330,p88
k331,p89
k332,p89
k333,p89
k334,p89
k335,p89
k336,p91
k337,p91
k338,p91
k339,p91
k340,p92
k341,p92
k342,p92
k343,p92
k344,p92
k345,p92
k346,p92
k347,p95
k348,p95
k349,p95
k350,p95
k351,p95
k352,p96
k353,p96
k354,p96
k355,p96
k355,p96
k356,p96
k357,p96
k358,p96
k359,p96
k360,p96
k361,p97
k362,p97
k363,p97
k364,p97
k365,p97
k366,p97
k367,p97
k368,p98
k369,p98
k370,p98
k371,p98
k372,p98
k373,p99
k374,p99
k375,p99
k376,p100
k377,p100
k378,p100
k379,p100
k380,p101
k381,p101
k382,p101
k383,p101
k384,p102
k385,p102
k386,p102
k387,p102
