idO,name,type
o0,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",University
o1,"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal",University
o2,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States",University
o3,"Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club Rd , West Palm Beach, FL  33406, United States",Company
o4,"Dept  of Civil and Environmental Engineering, Brigham Young Univ , 430 Engineering Bldg , Provo, UT  84602, United States",University
o5,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",University
o6,"Pratt and Whitney, East Hartford, CT  06118, United States",Company
o7,"School of Communications, Brigham Young University, United States",University
o8,"Department of Communication, University of California, Santa Barbara, United States",University
o9,"Dept  of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",University
o10,"Dept  of Power, Electronics and Com  Eng , Faculty of Technical Sciences, Novi Sad, Serbia",University
o11,"Dept  of Physics and Astronomy, Brigham Young University, Provo, UT, United States",University
o12,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",University
o13,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",University
o14,"Brigham Young University, Provo, UT  84602, United States",University
o15,"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States",University
o16,"Department of Power, Electronic and Communication Eng , University of Novi Sad, Novi Sad, Serbia",University
o17,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States",University
o18,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
o19,"School of Engineering, University of California, Santa Cruz, CA, United States",University
o20,"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China, Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",University
o21,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States",University
o22,"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",University
o23,"Brigham Young University, Provo, UT, United States",University
o24,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, United States",University
o25,"Air Force Research Laboratory, Control Center of Excellence, Wpafb, Dayton, OH, United States",Company
o26,"Infoscitex Corporation, Dayton, OH, United States",Company
o27,"Miami Valley Aerospace Llc, Afrl, Wright-Patterson Afb, Dayton, OH, United States",Company
o28,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States, Coreform LLC, OremUT, United States",University
o29,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",University
o30,"Institute for Structural Mechanics, University of Stuttgart, Stuttgart, Germany",University
o31,"Fachgebiet Statik und Dynamik, Brandenburgische Technische Universität Cottbus-Senftenberg, Cottbus, Germany",University
o32,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",University
o33,"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States",University
o34,"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States, Department of Electrical Engineering, Brigham Young University, Provo, UT, United States",University
o35,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",University
o36,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States",University
o37,"Department of Marketing & Global Supply Chain Management, Marriott School of Business, Brigham Young University, 663 TNRB, Provo, UT  84602, United States",University
o38,"University of Dayton, Dayton, OH  45410, United States",University
o39,"NASA Goddard Space Flight Center, Greenbelt, MD  20771, United States",Company
o40,"National Institute of Standards and Technology, Gaithersburg, MD  20899, United States, Department of Physics and Astronomy, Howard University, Washington, DC  20059, United States, School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States",University
o41,"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States",University
o42,"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, U S  Army Research Laboratory, Aberdeen Proving Ground, MD  21005, United States",University
o43,"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, Department of Materials Science and Engineering, North Carolina State University, Raleigh, NC  27695, United States",University
o44,"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",University
o45,"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States",University
o46,"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States",University
o47,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States",University
o48,"Western Research Institute, 3474 North 3rd Street, Laramie, WY  82072, United States",University
o49,"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States, School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States, School of Civil & Environmental Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States, Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States",University
o50,"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States",University
o51,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",University
o52,"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan",University
o53,"Brigham Young University, Electrical and Computer EngineeringUT, United States",University
o54,"Lafayette College, Easton, PA, United States",University
o55,"Wavetronix Llc, Provo, UT, United States",Company
o56,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",University
o57,"Air Force Research Laboratory, Eglin AFB, FL, United States",Company
o58,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States",University
o59,"School of Chemical and Petroleum Engineering, Sharif University of Technology, Tehran, Iran",University
o60,"School of Chemical Engineering, College of Engineering, University of Tehran, Tehran, Iran",University
o61,"Statistical Sciences Group, CCS-6, Los Alamos National Laboratory, Santa Fe, NM, United States",Company
o62,"Department of Statistics, Brigham Young University, Provo, UT, United States",University
o63,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84604, United States",University
o64,"Department of Sociology, Brigham Young University, Provo, UT  84604, United States",University
o65,"Brigham Young University, Provo, UT  84058, United States",University
o66,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States, Neuroscience Center, Brigham Young University, Provo, UT  84602, United States",University
o67,"Department of Physics and Astronomy, Brigham Young University, United States",University
o68,"Department of Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States",University
o69,"BYU MAGICC Lab , United States",Company
o70,"Brigham Young University, Electrical and Computer Engineering, United States",University
o71,"School of Electrical Computer and Energy Engineering (ECEE), Arizona State University (ASU), Tempe, AZ, United States",University
