idA,idS,decision,content
a23093686000,s0,Accepted,content of the review...
a56371366400,s0,Accepted,content of the review...
a36708895400,s0,Accepted,content of the review...
a57205348362,s1,Accepted,content of the review...
a50162863000,s1,Accepted,content of the review...
a57204229694,s1,Accepted,content of the review...
a57203188461,s2,Accepted,content of the review...
a7103321645,s2,Accepted,content of the review...
a7403279876,s2,Accepted,content of the review...
a57202741808,s3,Accepted,content of the review...
a57194697486,s3,Accepted,content of the review...
a7202608915,s3,Accepted,content of the review...
a54684688700,s4,Accepted,content of the review...
a57205025235,s4,Accepted,content of the review...
a23009691800,s4,Accepted,content of the review...
a57195292516,s5,Accepted,content of the review...
a6506462706,s5,Accepted,content of the review...
a57211216470,s5,Accepted,content of the review...
a56979909000,s6,Accepted,content of the review...
a57218270296,s6,Accepted,content of the review...
a57202322450,s6,Accepted,content of the review...
a57211503118,s7,Accepted,content of the review...
a55627591500,s7,Accepted,content of the review...
a24923036100,s7,Accepted,content of the review...
a57192697616,s8,Accepted,content of the review...
a57218687826,s8,Accepted,content of the review...
a57190859038,s8,Accepted,content of the review...
a57191616632,s9,Accepted,content of the review...
a7005373645,s9,Accepted,content of the review...
a7801609389,s9,Accepted,content of the review...
a7005306331,s10,Accepted,content of the review...
a57218879246,s10,Rejected,content of the review...
a55971908500,s10,Accepted,content of the review...
a9236660300,s11,Accepted,content of the review...
a7004387103,s11,Accepted,content of the review...
a7004495126,s11,Accepted,content of the review...
a56976354400,s12,Accepted,content of the review...
a57217581770,s12,Accepted,content of the review...
a35621274900,s12,Accepted,content of the review...
a56245452300,s13,Accepted,content of the review...
a57202911672,s13,Accepted,content of the review...
a57207994872,s13,Accepted,content of the review...
a57216048774,s14,Accepted,content of the review...
a35597296700,s14,Accepted,content of the review...
a55159798000,s14,Accepted,content of the review...
a57202916476,s15,Accepted,content of the review...
a57216183270,s15,Accepted,content of the review...
a7006085792,s15,Accepted,content of the review...
a56709287700,s16,Accepted,content of the review...
a57201432287,s16,Accepted,content of the review...
a7201793184,s16,Accepted,content of the review...
a57194063754,s17,Accepted,content of the review...
a6701746882,s17,Accepted,content of the review...
a56328064900,s17,Accepted,content of the review...
a57203179434,s18,Accepted,content of the review...
a57212877401,s18,Accepted,content of the review...
a56680952700,s18,Accepted,content of the review...
a57193755486,s19,Accepted,content of the review...
a56577741600,s19,Accepted,content of the review...
a57214229367,s19,Accepted,content of the review...
a6603460787,s20,Accepted,content of the review...
a57191525048,s20,Accepted,content of the review...
a35772366400,s20,Accepted,content of the review...
a55632390400,s21,Accepted,content of the review...
a57202326782,s21,Rejected,content of the review...
a55354928800,s21,Rejected,content of the review...
a36349287300,s22,Accepted,content of the review...
a7004435321,s22,Accepted,content of the review...
a57210290270,s22,Accepted,content of the review...
a57207994872,s23,Accepted,content of the review...
a25627506700,s23,Accepted,content of the review...
a36444802300,s23,Accepted,content of the review...
a7601492574,s24,Accepted,content of the review...
a18038642000,s24,Accepted,content of the review...
a7103395611,s24,Rejected,content of the review...
a57002749600,s25,Accepted,content of the review...
a56390719200,s25,Accepted,content of the review...
a57189458176,s25,Accepted,content of the review...
a57192106462,s26,Accepted,content of the review...
a14621428300,s26,Accepted,content of the review...
a8321530600,s26,Accepted,content of the review...
a56362659400,s27,Accepted,content of the review...
a57207782220,s27,Accepted,content of the review...
a57209637810,s27,Accepted,content of the review...
a7005654753,s28,Accepted,content of the review...
a6701723921,s28,Accepted,content of the review...
a54941111500,s28,Accepted,content of the review...
a55807632000,s29,Accepted,content of the review...
a57203943386,s29,Accepted,content of the review...
a57204728159,s29,Rejected,content of the review...
a55613237293,s30,Accepted,content of the review...
a56221719300,s30,Accepted,content of the review...
a57197795830,s30,Accepted,content of the review...
a57192893058,s31,Rejected,content of the review...
a55813139600,s31,Accepted,content of the review...
a36499438800,s31,Accepted,content of the review...
a55523036500,s32,Accepted,content of the review...
a24295291100,s32,Accepted,content of the review...
a7801550098,s32,Accepted,content of the review...
a57207842193,s33,Accepted,content of the review...
a57111140800,s33,Accepted,content of the review...
a57194205673,s33,Accepted,content of the review...
a55194109800,s34,Accepted,content of the review...
a16245460000,s34,Accepted,content of the review...
a39062078800,s34,Accepted,content of the review...
a57202910211,s35,Accepted,content of the review...
a57216754583,s35,Accepted,content of the review...
a57203192544,s35,Accepted,content of the review...
a56248593800,s36,Accepted,content of the review...
a56875089300,s36,Accepted,content of the review...
a57144565100,s36,Accepted,content of the review...
a57214451592,s37,Accepted,content of the review...
a6602183163,s37,Accepted,content of the review...
a55736791400,s37,Accepted,content of the review...
a56680505500,s38,Accepted,content of the review...
a26427435500,s38,Accepted,content of the review...
a55611356500,s38,Accepted,content of the review...
a7003772744,s39,Accepted,content of the review...
