title,idS,idP
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,s0,p0
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,s1,p1
Development of sediment management guidelines for small to medium reservoirs,s2,p2
Structural design space exploration using principal component analysis,s3,p3
Religion-focused dating apps: A Q methodology study on the uses of mutual,s4,p4
Interleaving physics- and data-driven models for power system transient dynamics,s5,p5
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,s6,p6
The effects of transition style for collaborative view sharing in immersive Virtual Reality,s7,p7
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,s8,p8
Solid-state membranes formed on natural menisci,s9,p9
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,s10,p10
Investigating steel tool life in the RFSSW process,s11,p11
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",s12,p12
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,s13,p13
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,s14,p14
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,s15,p15
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,s16,p16
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",s17,p17
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",s18,p18
Quantum Materials for Energy-Efficient Computing,s19,p19
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,s20,p20
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",s21,p21
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",s22,p22
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,s23,p23
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),s24,p24
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,s25,p25
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,s26,p26
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,s27,p27
Estimating correlations with censored data,s28,p28
"Social impact in product design, an exploration of current industry practices",s29,p29
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,s30,p30
Tracking joint angles during whole-arm movements using electromagnetic sensors,s31,p31
Case study: Noise reduction of a vacuum-assisted toilet,s32,p32
Developable mechanisms on right conical surfaces,s33,p33
State-Dependent LQR Control for a Tilt-Rotor UAV,s34,p34
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",s35,p35
Flexible hybrid state estimation for power systems with communication irregularities,s36,p36
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,s37,p37
On the effects of channel sparsity on joint estimators in aeronautical telemetry,s38,p38
Relative navigation of fixed-wing aircraft in GPS-denied environments,s39,p39
Increasing Student Use of a Learner Dashboard,s40,p40
